idx,t,x1,x2,x3,u1,u2,u3,u4
1,0.0,1.0,0.0,1.0,0.004998628300365885,0.005001371699633727,0.009992794874600818,7.205125407547612e-6
2,0.0009337657220214735,1.000000000002067,7.725199294436372e-9,1.0000093325043693,2.8886575775808117e-9,1.3834461460833764e-8,0.01000000200736854,-5.9132818761249556e-9
3,0.0031152809011402993,1.0000000000984883,9.650332307701256e-8,1.000031150166654,4.361316530039286e-9,1.7485667476971696e-8,0.01000000075924361,-5.3327332388754165e-9
4,0.006501704867327984,1.000000000911273,4.21742256090735e-7,1.0000650115885161,-4.312810461435697e-9,5.162781096246593e-10,0.010000006486811142,-8.200641681127858e-9
5,0.011037163086313764,1.0000000044730772,1.217510098999834e-6,1.0001103644274771,-2.888931429564971e-9,3.4718160583337087e-9,0.010000005483601974,-7.70845140523682e-9
6,0.016647135448492105,1.0000000153646442,2.770284393829781e-6,1.00016645176622,-6.156423759910233e-9,-2.8967021137232014e-9,0.010000007628726076,-8.785050881992503e-9
7,0.023239492510975575,1.0000000418178079,5.40004366383764e-6,1.0002323504348858,-5.069798906429619e-9,-7.270443040944938e-10,0.010000006897432145,-8.420793815327773e-9
8,0.030705982734280095,1.0000000964795952,9.427592775732271e-6,1.0003069594181402,-6.946041219252907e-9,-4.371039647762334e-9,0.010000008122845554,-9.037047187221307e-9
9,0.0389240042121946,1.0000001965432277,1.5149794911281044e-5,1.0003890409711143,-6.011615153402784e-9,-2.5516678532152555e-9,0.010000007512597218,-8.729979605488252e-9
10,0.04775861606124367,1.0000003630608365,2.280679074545805e-5,1.0004772193952218,-7.3272245461029284e-9,-5.093760796336164e-9,0.010000008365768061,-9.160181559280922e-9
11,0.0570647535158558,1.0000006193437088,3.255999786782819e-5,1.000570025732648,-6.435827547856772e-9,-3.3938711691464584e-9,0.010000007797688086,-8.871955925558277e-9
12,0.06668960962230103,1.0000009885465722,4.446689618690908e-5,1.000665903826313,-7.485611654541774e-9,-5.407948386192262e-9,0.010000008472140077,-9.213198358785678e-9
13,0.07647514419733913,1.0000014906306092,5.8469436698024176e-5,1.0007632580890107,-6.5539606528760054e-9,-3.6631752478045906e-9,0.010000007890612764,-8.916087543768856e-9
